~start_node_id,~start_node_labels,~start_node_property_Headquarters,~start_node_property_name,~start_node_property_original_names,~relationship_type,~end_node_id,~end_node_labels,~end_node_property_name,~end_node_property_original_names,~end_node_property_Headquarters,~relationship_property_software,~end_node_property_operating_system,~relationship_property_products
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],LOCATED_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6,Location,Cupertino,['Cupertino'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],PROCURES_FROM,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:89,Organization,Suppliers,['Suppliers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],PRODUCES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7,Product,Smartphones,['Smartphones'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],ANNOUNCED_AT,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],SUPPLIES_TO,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:67,Person,Third-party Developers,['Third-party Developers'],,applications and services,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],SUPPLIES_TO,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],SUPPLIES_TO,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68,Organization,Customers,['Customers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],INVOLVED_IN,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],FOUNDED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OWNS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:33,Organization,Apple Tv,['Apple Tv'],,,tvOS,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OWNS,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:37,Product,Apple Music,['Apple Music'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],manufactures,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7,Product,Smartphones,['Smartphones'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],DISTRIBUTES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74,Product,App Store,['App Store'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],REGULATED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1,Organization,UNITED STATES SECURITIES AND EXCHANGE COMMISSION,['UNITED STATES SECURITIES AND EXCHANGE COMMISSION'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:53,Location,,China,['China'],REGULATED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,Company,['Company'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],REGULATED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],OWNED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74,Product,App Store,['App Store'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],AFFECTED_BY,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],SERVES,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68,Organization,Customers,['Customers'],,,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,"Cupertino, California",Apple,['Apple'],SHAREHOLDER_OF,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0,Company,Apple,['Apple'],"Cupertino, California",,,
4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58,Company,,Company,['Company'],INTERACTS_WITH,4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90,Company,Third Parties,['Third Parties'],,,,
