"~id","~labels","Headquarters","name","original_names","operating_system"
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","Company","Cupertino, California","Apple","['Apple']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6","Location",,"Cupertino","['Cupertino']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","Company",,"Company","['Company']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:89","Organization",,"Suppliers","['Suppliers']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7","Product",,"Smartphones","['Smartphones']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:67","Person",,"Third-party Developers","['Third-party Developers']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68","Organization",,"Customers","['Customers']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:33","Organization",,"Apple Tv","['Apple Tv']","tvOS"
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:37","Product",,"Apple Music","['Apple Music']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74","Product",,"App Store","['App Store']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1","Organization",,"UNITED STATES SECURITIES AND EXCHANGE COMMISSION","['UNITED STATES SECURITIES AND EXCHANGE COMMISSION']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:53","Location",,"China","['China']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:90","Company",,"Third Parties","['Third Parties']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:56","Product",,"Operating System","['Operating System']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:12","Product",,"Services","['Services']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:36","Organization",,"Applecare","['Applecare']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:76","Product",,"Ios","['Ios']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:82","Company",,"Carriers","['Carriers']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:80","Company",,"Third-party Content Providers","['Third-party Content Providers']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:59","Location",,"U.S.","['U.S.']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:41","Organization",,"Americas","['Americas']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:5","Location",,"California","['California']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:13","Organization",,"Iphone","['Iphone']","iOS"
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:92","Organization",,"European Commission","['European Commission']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:87","Person",,"Employees","['Employees']",
"4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:55","Product",,"Hardware","['Hardware']",
