"~id","~start_node_id","~end_node_id","~relationship_type","software","products"
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152925902653358080","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6","LOCATED_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917634580757348441","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:89","PROCURES_FROM",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917619187594559495","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7","PRODUCES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153019361141719040","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","ANNOUNCED_AT",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917540022757359683","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:67","SUPPLIES_TO","applications and services",
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1152932499723124736","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","SUPPLIES_TO",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917540022757359684","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:68","SUPPLIES_TO",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153020460653346816","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","INVOLVED_IN",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153014963095207936","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","FOUNDED_BY",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917531226664337441","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:33","OWNS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:6917531226664337445","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:37","OWNS",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153008366025441280","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:7","manufactures",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153022659676602426","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:74","DISTRIBUTES",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153007266513813504","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:0","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1","REGULATED_BY",,
"5:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:1153007266513813557","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:53","4:2f5f7ea0-a66c-4e76-ba1e-5c75cd4152bf:58","REGULATED_BY",,
